kroA100; 10; Losowo; 5000; GSX; 50; Inwersja; 15; 2OPT; 0; DROGA; 32526,962890625
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 36705,57421875
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 31329,2890625
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 33160,21875
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 32447,673828125
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 31344,017578125
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 30676,919921875
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 35605,15625
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 31460,5234375
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 30781,697265625
kroA100; 10; Losowo; 5000; OX; 85; Inwersja; 15; 2OPT; 0; DROGA; 33689,23828125
kroA100; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 28456,775390625
kroA100; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 29551,482421875
kroA100; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 31608,01171875
kroA100; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 32601,82421875
kroA100; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 34458,45703125
kroA100; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 33340,8984375
kroA100; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 29984,3515625
kroA100; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 33148,23828125
kroA100; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 29189,130859375
kroA100; 10; Losowo; 5000; PMX; 85; Inwersja; 15; 2OPT; 0; DROGA; 30060,62109375
kroA100; 10; Losowo; 5000; CX; 85; Inwersja; 15; 2OPT; 0; DROGA; 30328,572265625
kroA100; 10; Losowo; 5000; CX; 85; Inwersja; 15; 2OPT; 0; DROGA; 29689,83203125
kroA100; 10; Losowo; 5000; CX; 85; Inwersja; 15; 2OPT; 0; DROGA; 30398,5859375
kroA100; 10; Losowo; 5000; CX; 85; Inwersja; 15; 2OPT; 0; DROGA; 32664,5703125
kroA100; 10; Losowo; 5000; CX; 85; Inwersja; 15; 2OPT; 0; DROGA; 30526,3671875
kroA100; 10; Losowo; 5000; CX; 85; Inwersja; 15; 2OPT; 0; DROGA; 31308,794921875
kroA100; 10; Losowo; 5000; CX; 85; Inwersja; 15; 2OPT; 0; DROGA; 31766,578125
kroA100; 10; Losowo; 5000; CX; 85; Inwersja; 15; 2OPT; 0; DROGA; 32516,380859375
kroA100; 10; Losowo; 5000; CX; 85; Inwersja; 15; 2OPT; 0; DROGA; 34062,96875
kroA100; 10; Losowo; 5000; CX; 85; Inwersja; 15; 2OPT; 0; DROGA; 30348,6015625
kroA100; 10; Losowo; 5000; GSX; 85; Inwersja; 15; 2OPT; 0; DROGA; 32587,2734375
kroA100; 10; Losowo; 5000; GSX; 85; Inwersja; 15; 2OPT; 0; DROGA; 32179,859375
kroA100; 10; Losowo; 5000; GSX; 85; Inwersja; 15; 2OPT; 0; DROGA; 34978,3046875
kroA100; 10; Losowo; 5000; GSX; 85; Inwersja; 15; 2OPT; 0; DROGA; 33442,55078125
kroA100; 10; Losowo; 5000; GSX; 85; Inwersja; 15; 2OPT; 0; DROGA; 30170,77734375
kroA100; 10; Losowo; 5000; GSX; 85; Inwersja; 15; 2OPT; 0; DROGA; 32000,595703125
kroA100; 10; Losowo; 5000; GSX; 85; Inwersja; 15; 2OPT; 0; DROGA; 35591,75390625
kroA100; 10; Losowo; 5000; GSX; 85; Inwersja; 15; 2OPT; 0; DROGA; 33075,5703125
kroA100; 10; Losowo; 5000; GSX; 85; Inwersja; 15; 2OPT; 0; DROGA; 33256,07421875
kroA100; 10; Losowo; 5000; GSX; 85; Inwersja; 15; 2OPT; 0; DROGA; 35080,453125
